Implied PPP conversion rate (National currency per international dollar),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Germany,0.926,0.882,0.871,0.865,0.852,0.844,0.854,0.848,0.831,0.819,0.815,0.903,0.93,0.944,0.943,0.942,0.93,0.917,0.913,0.904,0.879,0.871,0.87,0.864,0.851,0.828,0.807,0.799,0.792,0.801,0.797,0.789,0.787,0.775,0.769,0.778,0.753,0.741,0.738,0.74,0.744,0.734,0.722,0.735,0.752,0.76,0.763,0.764,0.764
Ghana,0.001,0.001,0.001,0.003,0.004,0.005,0.007,0.01,0.012,0.015,0.02,0.023,0.025,0.029,0.037,0.051,0.07,0.083,0.096,0.108,0.134,0.177,0.214,0.27,0.299,0.334,0.363,0.409,0.473,0.538,0.618,0.697,0.766,0.884,1.047,1.266,1.544,1.764,1.905,2.03,2.191,2.351,2.817,3.764,4.464,4.861,5.129,5.417,5.724
Greece,0.084,0.094,0.112,0.13,0.154,0.177,0.206,0.232,0.262,0.288,0.335,0.389,0.436,0.488,0.531,0.571,0.603,0.632,0.657,0.671,0.667,0.675,0.687,0.696,0.699,0.693,0.696,0.701,0.717,0.731,0.721,0.713,0.685,0.631,0.611,0.609,0.589,0.576,0.562,0.553,0.541,0.525,0.53,0.534,0.539,0.54,0.54,0.539,0.538
Grenada,1.559,1.465,1.437,1.407,1.442,1.52,1.552,1.592,1.642,1.723,1.657,1.709,1.738,1.729,1.745,1.76,1.775,1.778,1.788,1.781,1.789,1.787,1.766,1.731,1.72,1.708,1.734,1.728,1.829,1.817,1.804,1.771,1.8,1.769,1.733,1.736,1.73,1.69,1.639,1.664,1.637,1.611,1.532,1.529,1.532,1.532,1.536,1.542,1.548
Guatemala,0.402,0.399,0.394,0.404,0.406,0.468,0.649,0.683,0.737,0.787,1.066,1.372,1.461,1.635,1.788,1.904,2.036,2.167,2.347,2.43,2.54,2.654,2.784,2.846,2.911,2.962,3.016,3.119,3.354,3.379,3.501,3.637,3.648,3.717,3.767,3.732,3.858,3.933,3.889,3.957,4.018,3.949,3.92,3.994,4.091,4.152,4.213,4.28,4.346
Guinea,64.378,63.894,78.028,97.102,117.38,135.401,225.189,279.659,328.627,386.794,437.265,532.77,657.47,646.549,641.878,665.651,655.504,655.276,677.625,692.491,700.187,695.123,696.723,802.084,908.691,1249.137,1564.156,1735.307,1986.925,2017.74,2328.07,2485.901,2789.94,2932.747,3059.935,3164.996,3159.342,3216.035,3362.221,3613.555,3718.613,3887.959,3976.726,4138.456,4352.156,4574.17,4809.594,5075.336,5358.013
Guinea-Bissau,139.227,210.255,261.391,340.607,248.484,348.819,259.974,176.426,154.182,185.747,177.625,234.302,223.271,178.259,185.912,336.178,311.102,312.654,341.144,294.615,222.023,225.3,229.328,223.607,205.826,205.783,191.153,197.272,218.264,208.578,216.849,230.392,232.193,229.744,223.304,223.351,224.407,222.749,212.012,201.087,196.511,193.141,193.674,199.694,201.323,202.871,204.582,206.534,208.454
Guyana,1.138,1.095,1.034,1.142,1.281,1.465,1.636,3.372,4.034,11.154,16.933,38.031,41.729,46.589,53.812,58.341,58.897,58.687,59.016,66.27,67.72,66.816,68.468,70.348,71.786,73.932,75.779,81.629,88.521,88.89,93.509,100.269,104.888,102.278,101.929,102.838,106.23,105.353,99.909,101.055,73.522,82.067,89.619,70.177,67.471,64.475,61.879,51.867,46.525
Haiti,1.328,1.322,1.332,1.397,1.491,1.593,1.73,0.835,0.528,0.475,0.585,0.602,0.588,0.914,3.363,4.667,5.04,5.585,6.305,6.654,7.226,8.003,8.479,9.564,11.579,12.734,13.506,14.354,15.456,17.054,18.097,18.495,20.129,20.93,21.596,23.232,25.26,28.498,29.855,34.476,41.036,46.868,56.846,78.894,90.913,103.773,116.761,129.076,140.816
Honduras,1.557,1.467,1.489,1.49,1.485,1.463,1.465,1.462,1.541,1.654,1.993,2.434,2.468,2.673,3.176,3.849,4.467,5.129,5.595,5.935,6.267,6.625,6.858,7.113,7.373,7.67,7.838,8.137,8.606,9.206,9.522,10.057,10.37,10.332,10.398,10.474,10.393,10.362,10.315,10.552,10.899,10.826,11.043,11.33,11.603,11.84,12.079,12.337,12.597
Hong Kong SAR,3.98,4.025,4.16,4.186,4.429,4.525,4.601,4.877,5.126,5.552,5.756,6.077,6.53,6.928,7.212,7.356,7.649,7.952,7.96,7.527,7.111,6.831,6.497,5.989,5.623,5.444,5.252,5.275,5.242,5.189,5.141,5.233,5.454,5.548,5.706,5.831,5.932,6.011,6.085,6.1,6.06,5.839,5.556,5.483,5.545,5.558,5.579,5.606,5.631
Hungary,11.063,10.627,10.58,10.687,10.967,11.259,11.45,12.096,13.731,15.689,19.004,24.948,29.639,35.113,41.08,50.469,60.431,71.443,80.374,85.693,91.825,99.722,106.137,109.738,112.31,111.756,112.375,115.374,118.644,122.838,124.454,124.272,125.624,124.979,129.415,132.518,132.047,134.363,137.569,141.612,148.736,151.509,163.23,171.484,176.404,179.369,181.761,183.852,185.923
Iceland,6.642,9.043,13.081,22.226,27.217,34.804,42.406,49.703,59.048,69.722,77.451,81.201,81.946,81.322,81.649,82.326,82.85,83.689,86.659,88.454,89.976,95.652,99.715,98.266,98.257,98.19,103.458,105.101,115.638,127.316,133.816,135.152,136.968,137.023,138.548,141.937,140.044,137.122,137.427,141.022,144.794,147.572,150.212,153.108,155.812,158.143,159.915,162.043,164.261
India,4.024,4.074,4.148,4.333,4.513,4.69,4.909,5.238,5.476,5.714,6.095,6.706,7.145,7.668,8.257,8.82,9.318,9.753,10.417,10.625,10.754,10.843,11.062,11.259,11.6,11.724,12.104,12.463,13.289,14.005,15.081,15.55,16.161,17.342,18.387,19.235,19.899,20.648,20.946,21.072,21.788,22.632,22.89,22.947,23.365,23.842,24.345,24.864,25.388
Indonesia,328.173,313.401,310.277,357.083,375.75,378.909,378.343,417.688,435.746,461.204,478.901,503.137,523.326,552.363,582.868,627.313,669.484,740.872,1284.083,1445.556,1531.73,1712.129,1785.252,1846.767,1952.273,2164.2,2395.173,2594.714,2985.904,3145.831,3336.629,3512.754,3569.893,3765.672,4030.775,4353.327,4518.104,4695.659,4760.501,4751.378,4671.331,4738.906,4852.406,4846.56,4857.581,4880.478,4907.694,4929.366,4918.039
Iran,30.499,34.989,34.883,38.932,44,44.122,48.488,57.578,66.602,76.038,91.476,112.145,142.262,204.384,264.49,364.304,463.717,524.208,565.344,733.41,903.723,1006.693,1290.456,1447.879,1697.053,1994.462,2237.889,2692.159,3211.491,3382.674,3874.056,4758.87,6093.563,8503.847,9758.554,10701.562,11796.811,13061.295,16790.365,21531.104,30661.7,45869.851,64551.4,91562.046,118010.95,143567.503,174981.877,214384.182,264551.198
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,214.014,362.911,508.854,389.863,423.133,184.391,207.82,273.746,326.772,364.115,465.07,371.896,428.436,523.34,525.738,531.128,557.279,560.517,570.485,560.761,617.74,589.561,520.023,678.68,750.184,659.324,658.651,644.13,631.04,618.708,607.743
Ireland,0.524,0.567,0.624,0.666,0.69,0.713,0.741,0.746,0.747,0.755,0.733,0.726,0.729,0.75,0.745,0.772,0.763,0.78,0.822,0.846,0.884,0.924,0.957,0.975,0.955,0.954,0.957,0.943,0.921,0.873,0.837,0.832,0.823,0.811,0.819,0.809,0.794,0.791,0.781,0.793,0.773,0.744,0.741,0.749,0.753,0.756,0.756,0.757,0.758
Israel,0.004,0.009,0.02,0.047,0.221,0.768,1.13,1.313,1.521,1.76,1.975,2.341,2.576,2.805,3.117,3.307,3.548,3.769,3.984,4.171,4.159,4.138,4.269,4.167,4.063,3.98,3.917,3.847,3.825,3.969,3.968,3.945,3.955,3.84,3.94,3.924,3.788,3.745,3.681,3.685,3.673,3.588,3.511,3.551,3.582,3.607,3.626,3.645,3.659
Italy,0.344,0.375,0.416,0.462,0.495,0.524,0.553,0.573,0.591,0.605,0.623,0.648,0.662,0.672,0.682,0.715,0.734,0.74,0.749,0.75,0.747,0.752,0.765,0.774,0.774,0.765,0.758,0.757,0.76,0.768,0.762,0.759,0.748,0.737,0.74,0.738,0.701,0.687,0.678,0.672,0.674,0.649,0.624,0.629,0.635,0.636,0.637,0.638,0.639
Jamaica,0.742,0.714,0.749,0.853,1.061,1.265,1.341,1.37,1.643,1.815,2.661,3.942,7.199,9.381,11.984,14.669,17.065,18.481,19.978,21.077,22.815,24.069,26.192,28.671,31.512,34.058,35.962,38.975,43.425,47.711,51.758,53.805,56.475,59.334,62.76,65.295,65.904,67.582,69.333,70.225,71.721,73.735,77.727,81.268,83.222,85.463,87.829,90.36,92.942
Japan,239.432,225.14,215.738,209.572,205.251,201.468,200.675,195.522,190.043,186.729,184.682,183.871,182.77,179.553,176.186,171.664,167.826,165.813,163.924,159.64,154.017,148.99,144.663,139.582,134.404,128.761,123.831,119.722,116.398,114.998,111.495,107.454,104.274,101.303,103.052,103.45,105.503,105.379,102.905,101.733,101.37,96.795,90.686,90.616,91.378,91.567,91.334,91.205,91.125
Jordan,0.137,0.136,0.138,0.142,0.138,0.14,0.147,0.143,0.138,0.153,0.171,0.188,0.194,0.195,0.205,0.204,0.205,0.204,0.215,0.212,0.206,0.204,0.203,0.203,0.203,0.202,0.217,0.222,0.256,0.263,0.28,0.291,0.302,0.308,0.319,0.312,0.314,0.3,0.3,0.297,0.292,0.283,0.271,0.268,0.269,0.27,0.272,0.274,0.275
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.02,0.267,4.244,10.845,14.792,16.888,17.646,19.711,22.633,24.383,25.402,27.835,31.48,35.978,42.423,47.72,56.626,58.905,69.58,82.09,83.832,86.235,92.814,100.35,110.825,121.253,129.307,136.725,140.792,153.803,171.984,179.711,195.433,202.949,210.661,219.344,226.785
Kenya,5.685,5.73,5.971,6.375,6.804,7.189,7.726,7.921,8.067,8.542,9.133,9.902,11.274,13.807,15.254,16.664,19.756,21.631,22.418,22.713,23.473,23.384,23.378,24.138,24.956,25.225,24.878,26.189,29.467,32.686,32.827,35.396,37.979,37.668,38.289,39.04,39.385,40.185,40.887,41.883,43.386,43.323,42.92,44.749,46.595,48.159,49.809,51.402,53.045
Kiribati,0.694,0.657,0.642,0.672,0.71,0.692,0.688,0.726,0.724,0.704,0.675,0.72,0.749,0.765,0.797,0.787,0.865,0.884,0.944,0.972,0.974,1.011,1.045,1.052,1.042,1.015,0.982,1.015,1.079,1.074,1.07,1.066,1.04,1.025,1.05,1.087,1.145,1.15,1.141,1.101,1.127,1.173,1.154,1.193,1.214,1.217,1.218,1.22,1.22
"Korea, Republic of",480.323,511.588,512.934,517.397,521.453,525.615,540.834,553.277,572.501,584.31,620.049,654.589,689.782,715.957,758.177,794.771,812.562,830.767,858.291,835.956,825.789,835.686,847.82,860.094,863.809,846.266,819.103,816.843,824.126,848.428,861.301,854.586,854.887,869.081,871.878,857.368,858.993,871.696,855.341,833.218,835.346,821.524,777.536,761.627,765.24,765.897,766.786,769.364,771.273
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.326,0.356,0.363,0.36,0.347,0.332,0.323,0.322,0.309,0.299,0.314,0.327,0.33,0.333,0.34,0.339,0.339,0.34,0.337,0.334,0.335,0.34,0.345,0.353,0.359,0.361,0.362,0.362,0.363
Kuwait,no data,0.172,0.158,0.142,0.137,0.139,0.102,0.11,0.109,0.103,0.101,0.097,0.097,0.087,0.08,0.084,0.096,0.09,0.073,0.086,0.101,0.091,0.094,0.097,0.105,0.124,0.14,0.142,0.165,0.136,0.15,0.172,0.176,0.179,0.179,0.19,0.187,0.177,0.193,0.189,0.16,0.194,0.216,0.191,0.188,0.183,0.179,0.175,0.172
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.081,0.655,1.802,2.507,3.333,3.909,4.216,5.72,7.112,7.465,7.5,7.647,7.827,8.13,8.628,9.65,11.662,12.056,13.108,15.728,15.303,15.365,16.036,17.146,16.737,16.959,17.181,18.534,19.272,21.394,23.322,25.222,26.777,27.987,28.974,29.81,30.438
Lao P.D.R.,11.412,10.341,16.287,27.839,36.145,51.91,71.657,91.672,131.9,209.858,272.325,298.472,318.93,331.472,349.591,409.66,457.778,536.718,508.964,1087.863,1423.911,1567.946,1707.506,1893.872,2041.416,2142.728,2331.862,2420.349,2506.613,2446.412,2532.298,2666.535,2615.523,2712.93,2738.371,2819.729,2759.426,2789.109,2775.859,2788.084,2841.966,2872.785,3157.231,3574.085,3617.279,3651.209,3689.805,3732.222,3774.238
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.111,0.178,0.237,0.267,0.295,0.307,0.318,0.319,0.323,0.323,0.334,0.344,0.359,0.387,0.422,0.493,0.54,0.485,0.478,0.499,0.506,0.499,0.498,0.497,0.485,0.484,0.491,0.495,0.494,0.503,0.532,0.56,0.573,0.583,0.587,0.591,0.595
Lebanon,0.841,0.917,1.024,1.057,1.2,1.971,3.776,21.632,53.28,88.302,143.68,210.609,453.016,571.304,603.937,654.28,699.442,740.8,762.447,758.842,727.161,698.214,721.445,719.609,707.895,692.476,677.668,680.5,718.015,786.802,781.958,788.752,808.92,798.526,771.115,764.821,742.686,734.776,757.154,774.276,1230.974,2836.761,7025.296,no data,no data,no data,no data,no data,no data
Lesotho,0.565,0.568,0.525,0.558,0.597,0.685,0.77,0.86,0.983,1.077,1.179,1.323,1.463,1.58,1.689,1.832,1.927,2.067,2.235,2.37,2.492,2.721,2.952,3.006,3.182,3.307,3.367,3.258,3.597,3.687,3.877,4.081,4.373,4.393,4.623,4.752,5.012,5.506,5.908,6.084,6.213,6.322,6.402,6.586,6.784,6.968,7.179,7.393,7.619
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.333,0.332,0.327,0.341,0.402,0.388,0.407,0.425,0.49,0.487,0.504,0.546,0.56,0.539,0.522,0.55,0.518,0.461,0.437,0.416,0.417,0.439,0.443,0.447,0.439,0.433,0.433,0.431,0.426
Libya,0.122,0.12,0.111,0.107,0.105,0.1,0.096,0.096,0.093,0.093,0.094,0.084,0.092,0.093,0.094,0.117,0.128,0.14,0.14,0.165,0.182,0.183,0.236,0.257,0.303,0.382,0.456,0.455,0.552,0.412,0.486,0.592,0.677,0.663,0.575,0.49,0.505,0.606,0.613,0.628,0.59,1.075,1.271,1.161,1.156,1.114,1.076,1.042,1.011
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.312,0.364,0.399,0.408,0.397,0.393,0.383,0.379,0.368,0.368,0.382,0.395,0.418,0.45,0.432,0.438,0.452,0.453,0.443,0.443,0.446,0.438,0.442,0.447,0.451,0.453,0.461,0.503,0.531,0.545,0.555,0.561,0.564,0.568
Luxembourg,0.803,0.795,0.749,0.778,0.795,0.773,0.757,0.74,0.734,0.735,0.726,0.715,0.725,0.751,0.761,0.763,0.772,0.744,0.733,0.761,0.798,0.787,0.786,0.788,0.791,0.804,0.83,0.824,0.862,0.864,0.893,0.905,0.907,0.895,0.884,0.881,0.852,0.844,0.842,0.835,0.859,0.861,0.85,0.869,0.88,0.885,0.885,0.887,0.888
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.507,3.407,3.343,3.318,3.397,3.55,3.76,4.06,4.072,4.216,4.44,4.565,4.644,4.861,5.137,5.118,5.155,5.212,5.244,5.163,4.912,4.608,4.457,4.442,4.438,4.426,4.419,4.42
Madagascar,24.789,29.544,36.702,42.195,44.684,47.891,53.75,60.562,73.906,77.53,83.595,87.766,98.311,105.629,143.745,209.833,246.779,253.493,266.238,281.413,307.018,324.024,371.691,358.286,397.614,456.321,490.317,526.531,555.3,589.997,642.562,694.863,742.898,777.659,823.956,886.091,941.011,1013.435,1071.762,1121.547,1154.828,1178.577,1178.916,1228.845,1290.888,1360.535,1426.047,1485.026,1537.275
Malawi,0.744,0.791,0.817,0.875,0.952,1.005,1.116,1.25,1.56,1.819,1.865,2.172,2.405,3.011,3.78,6.627,9.674,11.19,13.6,18.644,23.986,29.102,35.235,38.128,42.644,45.789,53.288,54.013,59.337,63.617,70.485,78.769,94.331,114.541,146.204,186.615,221.197,251.074,260.207,275.377,288.886,299.213,328.142,398.63,459.168,500.875,528.756,552.94,574.305
Malaysia,1.257,1.16,1.12,1.128,1.155,1.1,0.985,1.015,1.016,1.021,1.022,1.039,1.04,1.057,1.075,1.092,1.112,1.131,1.213,1.197,1.276,1.228,1.247,1.264,1.304,1.329,1.34,1.369,1.482,1.385,1.42,1.466,1.454,1.472,1.505,1.568,1.594,1.655,1.626,1.599,1.565,1.583,1.575,1.557,1.576,1.59,1.595,1.591,1.588
Maldives,1.947,1.931,1.908,1.877,1.843,1.876,2.006,2.192,2.22,2.271,2.767,3.055,3.371,3.665,3.897,4.401,4.483,4.94,4.729,4.744,4.691,4.618,4.626,4.595,4.921,5.209,5.425,5.817,6.338,7.009,7.125,7.862,8.154,8.246,8.174,8.278,8.129,8.161,8.22,7.99,7.904,7.696,7.307,7.294,7.304,7.316,7.32,7.332,7.343
Mali,111.754,112.411,127.993,133.716,144.314,140.255,138.751,133.576,128.27,124.418,125.068,118.224,113.277,114.084,158.63,177.558,170.838,171.653,173.928,174.471,169.548,173.57,176.91,160.311,161.738,168.585,171.138,174.225,184.007,191.428,196.677,216.09,225.379,219.312,218.683,218.571,211.357,214.509,212.531,212.799,213.031,213.9,209.78,208.409,209.499,209.467,209.589,209.942,210.245
Malta,0.524,0.509,0.483,0.464,0.448,0.436,0.449,0.454,0.447,0.443,0.446,0.451,0.447,0.45,0.461,0.466,0.458,0.465,0.474,0.483,0.553,0.565,0.571,0.571,0.568,0.561,0.556,0.554,0.561,0.569,0.58,0.574,0.58,0.577,0.586,0.6,0.583,0.578,0.574,0.577,0.579,0.565,0.556,0.56,0.564,0.563,0.563,0.564,0.562
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.057,1.073,1.085,1.049,1.023,1.047,1.037,1.03,1.017,1.02,1.009,1.044,1.032,1.03,1.083,1.129,1.104,1.094,1.048,1.114,1.117,1.064,1.002,1.056,1.071,1.062,1.055,1.059,1.058,1.058,1.06,1.061
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.532,2.852,3.066,3.351,3.645,3.672,3.673,4.047,4.74,4.897,5.093,5.271,5.538,5.675,6.131,6.812,7.539,7.993,8.683,8.597,10.393,11.968,12.154,12.042,11.821,11.781,11.522,11.126,11.359,11.748,12.365,13.321,11.857,11.824,11.793,11.721,11.714,11.638,11.645
Mauritius,4.883,4.653,4.848,5.298,5.324,5.472,5.735,6.174,6.757,7.258,7.63,8.188,8.415,9.143,9.71,10.083,10.008,10.257,11.005,11.722,11.854,12.331,12.896,13.35,13.895,14.049,14.542,15.336,15.903,15.699,15.687,15.853,16.459,16.56,16.818,16.882,16.622,16.882,16.762,16.39,16.595,16.382,16.777,18.021,18.967,19.508,19.682,19.823,19.959
Mexico,0.013,0.015,0.022,0.04,0.062,0.096,0.161,0.379,0.735,0.901,1.112,1.331,1.494,1.771,1.879,2.554,3.178,3.678,4.209,4.786,5.18,5.394,5.604,5.73,6.034,6.194,6.376,6.589,6.873,7.187,7.412,7.673,7.859,7.884,8.045,8.326,8.446,8.871,9.114,9.337,9.663,9.655,9.629,9.77,10.089,10.234,10.376,10.496,10.619
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.019,1.018,1.007,1.027,1.003,0.991,0.981,0.966,0.944,0.929,0.919,0.904,0.908,0.936,0.98,1.003,0.998,1.05,1.038,1.05,0.985,1.015,1.07,1.143,1.148,1.144,1.114,1.094,1.111,1.131,1.141,1.145,1.148,1.149
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.001,0.015,0.138,0.507,0.689,0.865,0.958,1.036,1.429,1.815,1.95,2.109,2.375,2.498,2.648,2.914,3.288,3.525,3.578,4.713,4.996,5.01,4.989,5.293,5.556,5.409,5.572,5.615,5.809,6.055,6.166,6.903,7.39,7.624,7.885,8.16,8.454,8.757
Mongolia,2.732,2.532,2.432,2.363,2.21,2.112,1.88,1.848,1.801,1.733,1.67,3.215,8.603,35.204,56.637,88.91,96.747,115.719,112.221,122.703,134.383,142.815,148.822,160.352,184.225,216.027,256.566,282.688,340.24,347.065,473.085,533.527,577.66,630.68,683.767,717.072,729.223,791.436,834.379,901.417,922.788,1010.466,1111.599,1194.031,1279.203,1381.643,1485.067,1584.515,1654.379
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.209,0.248,0.251,0.266,0.278,0.282,0.301,0.34,0.359,0.365,0.367,0.364,0.37,0.364,0.362,0.36,0.349,0.351,0.353,0.354,0.349,0.35,0.36,0.372,0.379,0.382,0.384,0.386,0.387
Morocco,2.963,2.97,2.999,3.097,3.247,3.412,3.69,3.742,3.807,3.808,3.872,3.936,4.058,4.095,4.003,4.258,4.159,4.137,4.079,4.067,3.96,3.89,3.869,3.822,3.767,3.707,3.645,3.707,3.802,3.783,3.775,3.672,3.75,3.794,4.034,3.996,3.994,4.023,3.966,3.928,3.883,3.805,3.664,3.75,3.78,3.799,3.801,3.808,3.815
Mozambique,0.066,0.045,0.05,0.054,0.062,0.08,0.088,0.242,0.346,0.491,0.884,1.271,1.687,2.372,3.48,5.166,7.594,8.263,8.657,9.336,10.178,11.524,12.487,12.777,13.254,13.775,14.415,15.094,15.593,15.659,16.71,16.894,18.019,18.426,18.551,18.264,19.834,22.856,22.989,23.726,24.216,24.246,25.259,26.335,27.653,29.004,30.224,31.376,32.499
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.46,56.296,61.119,68.365,92.074,116.008,123.329,133.945,156.401,186.692,215.294,232.996,245.489,261.784,267.496,278.559,294.007,318.979,347.071,366.713,377.605,394.192,412.365,412.168,450.379,497.737,526.745,558.808,593.26,629.947,668.741
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.212,1.313,1.408,1.534,1.775,1.905,2.15,2.261,2.423,2.549,2.816,3.028,3.244,3.238,3.383,3.393,3.546,3.931,4.278,4.547,4.653,4.732,5.212,5.4,5.666,5.932,6.414,7.021,7.159,7.098,7.331,7.155,7.169,7.424,7.658,7.937,8.159,8.408,8.636
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.198,1.178,1.206,0.949,0.806,1.227,1.095,1.209,1.338,1.179,1.18,1.168,1.411,1.589,1.694,1.577,1.591,1.55,1.524,1.564,1.584,1.586,1.6,1.608,1.61
Nepal,4.039,3.983,3.938,4.557,4.742,5.185,5.815,6.395,6.907,7.394,7.891,8.591,9.952,10.77,11.052,11.507,12.183,12.822,13.21,14.175,14.492,14.541,14.881,15.041,15.259,15.7,16.351,17.131,17.754,20.447,23.264,25.255,26.004,26.8,28.153,29.943,31.999,31.235,31.83,32.736,33.354,34.079,34.182,35.555,37.095,38.538,39.865,41.263,42.7
Netherlands,1.058,1.019,1.011,0.994,0.973,0.96,0.942,0.916,0.883,0.861,0.843,0.841,0.843,0.836,0.836,0.833,0.826,0.834,0.841,0.84,0.85,0.866,0.885,0.886,0.874,0.864,0.86,0.854,0.858,0.854,0.852,0.836,0.824,0.798,0.809,0.81,0.796,0.778,0.779,0.788,0.793,0.781,0.77,0.774,0.789,0.792,0.793,0.794,0.795
New Zealand,0.811,0.839,0.88,0.922,0.958,1.073,1.196,1.359,1.45,1.478,1.482,1.425,1.422,1.414,1.411,1.402,1.402,1.39,1.396,1.384,1.381,1.407,1.4,1.392,1.398,1.38,1.368,1.396,1.421,1.446,1.475,1.486,1.496,1.446,1.441,1.475,1.441,1.453,1.448,1.459,1.477,1.454,1.429,1.453,1.435,1.439,1.46,1.477,1.48
Nicaragua,0,0,0,0,0,0,0,0,0,0.001,0.064,1.872,2.26,2.66,2.756,3.06,3.294,3.555,4.008,4.317,4.583,4.807,4.887,5.048,5.359,5.711,5.996,6.403,7.3,7.691,8.067,8.71,9.362,9.715,10.16,10.554,10.594,10.807,10.834,11.217,11.668,11.563,11.77,12.384,12.716,12.963,13.225,13.507,13.792
Niger,183.114,186.525,193.237,200.46,216.114,197.13,185.123,183.726,168.062,163.984,155.54,146.706,136.025,127.787,152.971,156.19,164.041,172.548,181.091,179.218,180.818,185.758,187.624,183.548,179.421,188.963,186.078,193.952,209.636,216.961,221.889,226.128,233.427,242.084,244,249.921,257.019,258.46,258.374,254.371,253.478,250.115,242.828,240.776,241.175,241.134,241.322,241.723,242.072
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.872,3.333,4.867,6.478,8.857,13.986,17.229,17.91,19.286,21.881,26.352,28.493,34.105,35.85,41.165,47.956,56.101,58.594,63.647,66.01,73.43,78.777,86.826,90.261,92.782,96.832,105.374,115.978,124.839,135.375,144.12,151.898,158.011,179.136,205.494,226.668,246.808,268.958,291.603
