Implied PPP conversion rate (National currency per international dollar),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.072,5.681,14.017,16.073,16.234,16.592,16.636,16.863,17.834,18.264,18.153,18.096,17.594,17.894,17.923,18.252,18.892,18.828,18.984,19.29,19.003,19.105,18.996,19.435,18.961,19.043,19.326,19.15,19.163,18.994,19.172,20.308,21.119,21.1,21.148,21.206,21.294
Norway,5.236,5.399,5.62,5.784,5.93,6.047,5.895,6.168,6.248,6.349,6.354,6.282,6.102,6.098,5.961,6.017,6.161,6.225,6.113,6.428,7.249,7.211,6.992,7.053,7.27,7.667,8.087,8.116,8.805,8.302,8.691,9.083,9.037,9.029,9.278,9.93,10.043,9.922,10.342,10.104,9.723,10.896,13.042,12.58,12.59,12.349,12.148,12.003,11.878
Oman,0.186,0.177,0.157,0.136,0.127,0.12,0.101,0.108,0.096,0.101,0.111,0.099,0.098,0.09,0.088,0.088,0.093,0.089,0.076,0.083,0.095,0.089,0.091,0.098,0.108,0.127,0.141,0.149,0.193,0.144,0.163,0.185,0.189,0.191,0.199,0.198,0.194,0.2,0.218,0.209,0.184,0.198,0.231,0.208,0.205,0.2,0.195,0.191,0.188
Pakistan,5.036,5.124,5.228,5.296,5.664,5.68,5.705,5.854,6.268,6.551,6.762,7.391,7.963,8.426,9.258,10.316,10.798,11.954,12.595,13.082,13.186,13.673,13.987,14.235,14.888,15.135,15.62,16.674,17.743,20.284,22,24.962,26.635,28.522,30.403,31.468,32.378,33.589,34.078,36.283,39.246,41.706,43.831,53.981,65.328,72.035,76.45,79.798,83.447
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.926,0.907,0.867,0.836,0.842,0.879,0.876,0.868,0.914,0.9,0.901,0.898,0.953,1.002,1.022,1.065,1.113,1.082,1.038,0.983,0.954,0.951,0.961,0.996,1.044,1.066,1.064,1.064,1.063
Panama,0.587,0.555,0.549,0.567,0.557,0.544,0.535,0.534,0.515,0.489,0.474,0.461,0.473,0.479,0.486,0.478,0.516,0.515,0.514,0.511,0.494,0.488,0.488,0.484,0.481,0.474,0.47,0.471,0.497,0.526,0.533,0.553,0.574,0.571,0.559,0.538,0.515,0.497,0.489,0.482,0.473,0.462,0.442,0.433,0.431,0.431,0.431,0.432,0.433
Papua New Guinea,0.862,0.766,0.745,0.782,0.755,0.732,0.717,0.7,0.872,0.818,0.822,0.851,0.856,0.85,0.856,0.973,0.983,1.075,1.119,1.226,1.356,1.417,1.555,1.601,1.604,1.678,1.781,1.783,1.953,1.846,2.005,2.138,2.087,2.124,2.199,2.15,2.182,2.307,2.473,2.455,2.463,2.636,2.838,2.687,2.744,2.784,2.786,2.801,2.839
Paraguay,46.352,49.443,49.489,54.498,66.314,80.694,104.19,132.731,160.373,202.919,265.138,380.308,424.2,465.016,512.536,557.615,610.131,620.247,713.065,778.255,872.612,972.311,1129.235,1275.083,1388.711,1520.894,1606.025,1761.355,1939.483,1997.433,2065.6,2126.67,2288.408,2309.777,2383.451,2453.16,2507.4,2534.377,2523.389,2554.829,2577.498,2675.087,2689.175,2724.916,2759.532,2801.43,2854.312,2911.371,2968.934
Peru,0,0,0,0,0,0,0,0,0,0.001,0.072,0.337,0.555,0.797,0.967,1.075,1.163,1.229,1.286,1.304,1.326,1.311,1.298,1.311,1.349,1.334,1.408,1.411,1.408,1.431,1.497,1.543,1.599,1.616,1.646,1.714,1.743,1.749,1.742,1.741,1.792,1.841,1.793,1.841,1.843,1.847,1.852,1.858,1.861
Philippines,3.025,3.087,3.161,3.474,5.141,5.862,5.916,6.207,6.573,6.897,7.491,8.434,8.896,9.282,10.002,10.546,11.152,11.649,12.719,13.336,13.799,14.254,14.629,14.804,15.266,15.676,15.985,16.056,16.885,17.237,17.777,18.098,18.069,18.426,18.876,19.001,18.949,19.385,19.638,19.426,19.493,19.081,18.809,18.982,19.058,19.144,19.251,19.38,19.506
Poland,0.001,0.002,0.003,0.004,0.004,0.005,0.006,0.007,0.012,0.037,0.232,0.349,0.475,0.603,0.807,1.059,1.227,1.374,1.509,1.577,1.654,1.674,1.689,1.669,1.706,1.696,1.674,1.69,1.723,1.777,1.783,1.801,1.796,1.762,1.767,1.765,1.733,1.737,1.717,1.738,1.789,1.802,1.874,2.043,2.122,2.176,2.208,2.223,2.238
Portugal,0.137,0.148,0.165,0.201,0.241,0.282,0.327,0.349,0.382,0.407,0.437,0.469,0.499,0.514,0.537,0.556,0.559,0.571,0.586,0.598,0.604,0.613,0.629,0.638,0.636,0.637,0.638,0.639,0.638,0.641,0.638,0.623,0.605,0.584,0.579,0.585,0.571,0.575,0.572,0.571,0.575,0.559,0.545,0.546,0.548,0.549,0.55,0.55,0.55
Puerto Rico,0.651,0.65,0.664,0.655,0.653,0.657,0.645,0.652,0.648,0.642,0.645,0.644,0.646,0.643,0.649,0.653,0.667,0.664,0.692,0.699,0.706,0.712,0.715,0.716,0.724,0.748,0.766,0.774,0.809,0.844,0.855,0.857,0.858,0.86,0.86,0.875,0.892,0.905,0.902,0.908,0.918,0.906,0.897,0.89,0.883,0.882,0.884,0.89,0.897
Qatar,1.17,1.225,1.102,0.954,0.823,0.858,0.64,0.652,0.577,0.557,0.876,0.766,0.776,0.696,0.685,0.771,0.822,0.813,0.62,0.782,1.148,1.04,1.058,1.224,1.293,1.693,1.684,1.798,2.226,1.532,1.745,2.153,2.186,2.24,2.365,2.468,2.504,2.346,2.575,2.417,2.026,2.376,2.785,2.612,2.616,2.596,2.572,2.515,2.474
Romania,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0.001,0.004,0.013,0.03,0.039,0.056,0.136,0.209,0.304,0.424,0.572,0.692,0.836,0.94,1.021,1.096,1.236,1.405,1.454,1.522,1.55,1.564,1.606,1.628,1.662,1.597,1.604,1.664,1.746,1.795,1.806,1.913,2.036,2.098,2.118,2.147,2.167,2.18
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0.001,0.013,0.121,0.485,1.158,1.658,1.876,2.199,3.74,5.033,5.735,6.528,7.272,8.521,9.855,11.009,12.198,14.118,14.307,16.142,18.444,19.568,19.506,20.999,23.563,24.195,24.05,25.834,26.207,26.102,29.724,32.168,31.566,32.418,32.595,32.955,33.123,33.32
Rwanda,65.745,66.537,68.542,67.523,64.542,65.434,59.608,58.89,58.234,64.915,61.538,69.515,72.417,81.996,85.655,130.122,145.115,164.795,166.682,159.461,161.066,156.905,146.543,172.915,186.994,197.726,196.568,216.081,242.753,258.413,263.434,276.649,299.239,302.895,297.072,299.615,311.476,325.126,315.478,317.46,334.476,328.822,356.537,378.59,395.173,406.733,418.94,431.989,445.336
Saint Kitts and Nevis,1.202,1.278,1.295,1.254,1.287,1.306,1.383,1.426,1.48,1.495,1.545,1.451,1.522,1.538,1.597,1.628,1.611,1.661,1.695,1.707,1.648,1.665,1.697,1.692,1.711,1.632,1.807,1.871,1.863,1.907,1.895,1.961,2.016,2.034,2.035,2.035,2.038,2.04,1.985,1.928,1.778,1.668,1.611,1.64,1.622,1.619,1.62,1.624,1.627
Saint Lucia,1.624,1.611,1.401,1.394,1.589,1.548,1.585,1.644,1.595,1.596,1.666,1.7,1.691,1.669,1.676,1.725,1.702,1.721,1.743,1.759,1.74,1.685,1.666,1.72,1.687,1.748,1.779,1.784,1.789,1.777,1.826,1.83,1.876,1.877,1.931,2.011,1.958,1.996,1.954,1.962,1.835,1.917,1.923,1.931,1.935,1.945,1.956,1.968,1.981
Saint Vincent and the Grenadines,1.26,1.373,1.405,1.408,1.425,1.429,1.468,1.553,1.516,1.511,1.555,1.56,1.554,1.509,1.512,1.514,1.543,1.534,1.56,1.575,1.535,1.595,1.581,1.525,1.546,1.546,1.561,1.636,1.641,1.609,1.675,1.636,1.65,1.643,1.596,1.605,1.533,1.59,1.577,1.585,1.551,1.479,1.422,1.417,1.418,1.418,1.418,1.421,1.423
Samoa,0.599,0.636,0.724,0.821,0.917,0.966,0.957,0.973,0.999,1.014,1.37,1.365,1.442,1.483,1.072,1.473,1.432,1.577,1.696,1.68,1.676,1.695,1.693,1.703,1.776,1.79,1.828,1.914,2.049,2.07,1.958,1.9,1.94,1.952,1.932,1.989,2.014,1.982,1.957,1.951,1.949,1.858,1.835,1.935,1.974,2,2.021,2.044,2.067
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.747,0.752,0.754,0.756,0.76,0.765,0.769,0.764,0.753,0.745,0.711,0.717,0.718,0.722,0.71,0.715,0.726,0.69,0.691,0.689,0.683,0.68,0.675,0.67,0.651,0.625,0.639,0.647,0.646,0.646,0.647,0.648
Saudi Arabia,1.311,1.338,1.339,1.304,1.247,1.196,0.858,0.893,0.786,0.821,0.847,0.801,0.781,0.75,0.743,0.77,0.815,0.829,0.706,0.797,0.864,0.831,0.867,0.87,0.941,1.096,1.187,1.253,1.447,1.212,1.403,1.586,1.65,1.666,1.646,1.591,1.639,1.649,1.855,1.791,1.618,1.762,1.932,1.785,1.742,1.698,1.666,1.64,1.62
Senegal,151.808,153.94,159.143,167.349,174.103,183.942,190.657,183.096,174.378,170.344,164.17,157.649,152.704,148.591,193.464,203.849,210.571,214.146,219.644,220.306,218.245,228.366,229.144,222.635,216.522,219.85,219.423,227.726,241.8,236.202,237.141,241.276,245.6,247.212,243.618,242.595,244.658,246.787,238.969,239.657,240.046,233.776,237.282,238.957,241.375,241.338,241.479,241.809,244.884
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.229,3.973,5.01,8.867,16.201,19.064,21.03,22.144,24.62,26.834,28.401,30.399,32.588,34.045,36.324,37.982,39.323,39.802,40.726,40.459,40.795,40.624,40.882,41.344,41.906,43.314,46.818,48.126,48.956,49.622,50.278,50.917
Seychelles,3.42,3.354,3.213,3.191,3.176,3.149,3.264,3.302,3.315,3.258,3.34,3.165,3.239,3.26,3.276,3.143,2.898,2.874,3.138,3.158,3.127,3.246,3.312,3.441,4.178,4.069,4.004,4.36,5.77,7.309,6.894,6.884,7.625,7.959,7.844,8.157,7.815,7.969,7.958,7.852,7.846,7.641,7.298,6.992,6.955,7.024,7.099,7.183,7.264
Sierra Leone,0.643,0.683,0.759,0.982,1.435,2.577,5.968,10.483,15.534,24.068,31.788,78.249,124.826,156.569,181.621,243.012,418.353,480.332,603.457,744.017,771.996,712.9,674.426,748.208,822.007,929.54,1012.854,1053.219,1136.653,1217.275,1409.382,1620.575,1750.438,1778.18,1808.755,1881.811,1975.344,2244.995,2499.689,2644.786,2895.688,2956.645,3354.352,4358.493,5194.855,5847.699,6386.356,6840.738,7249.057
Singapore,1.131,1.093,1.077,1.069,1.04,0.993,0.961,0.943,0.96,0.963,0.971,0.981,0.973,0.983,0.996,1.006,1.003,0.997,0.973,0.925,0.939,0.902,0.88,0.848,0.858,0.848,0.838,0.864,0.836,0.855,0.854,0.847,0.846,0.859,0.864,0.88,0.878,0.886,0.896,0.878,0.844,0.878,0.895,0.886,0.896,0.901,0.901,0.903,0.904
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.318,0.353,0.376,0.385,0.402,0.417,0.441,0.472,0.485,0.497,0.513,0.528,0.525,0.524,0.516,0.521,0.512,0.508,0.506,0.505,0.491,0.485,0.491,0.503,0.503,0.501,0.504,0.51,0.499,0.502,0.532,0.552,0.556,0.555,0.555,0.555
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.289,0.332,0.358,0.393,0.429,0.457,0.486,0.51,0.527,0.56,0.593,0.614,0.618,0.609,0.603,0.612,0.627,0.645,0.63,0.624,0.607,0.59,0.591,0.595,0.577,0.568,0.566,0.569,0.568,0.558,0.555,0.578,0.594,0.604,0.607,0.605,0.605
Solomon Islands,0.681,0.703,0.749,0.771,0.825,0.875,0.901,0.981,1.107,1.102,1.424,1.477,1.634,1.868,2.34,2.511,2.763,2.947,3.239,3.439,3.55,3.815,4.181,4.356,4.472,4.959,5.236,5.652,5.983,6.343,6.646,7.131,7.504,7.548,7.682,7.861,7.81,7.862,8.28,8.236,8.022,7.765,7.765,7.848,7.954,8.058,8.155,8.275,8.385
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.267,0.356,0.432,0.402,0.357,0.343,0.356,0.339,0.366,0.362,0.358,0.346,0.359,0.367,0.376,0.384,0.393,0.399
South Africa,0.469,0.477,0.515,0.58,0.622,0.7,0.801,0.897,1,1.127,1.254,1.403,1.574,1.743,1.874,2.034,2.158,2.294,2.452,2.584,2.759,2.909,3.223,3.363,3.473,3.556,3.658,3.856,4.08,4.406,4.62,4.777,5.108,5.296,5.572,5.825,6.159,6.427,6.526,6.707,6.969,7.103,6.954,7.008,7.171,7.346,7.538,7.768,8.004
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.593,2.291,2.501,2.609,3.268,13.07,35.505,76.389,107.593,157.81,296.499,686.697,877.985,1016.902,1061.15,1141.565,1238.278,1387.854
Spain,0.337,0.352,0.376,0.407,0.433,0.457,0.493,0.509,0.518,0.532,0.55,0.57,0.595,0.614,0.623,0.631,0.641,0.645,0.654,0.661,0.669,0.681,0.698,0.712,0.72,0.727,0.733,0.738,0.74,0.737,0.729,0.714,0.695,0.675,0.662,0.665,0.643,0.63,0.623,0.621,0.62,0.609,0.593,0.602,0.611,0.611,0.609,0.608,0.607
Sri Lanka,5.077,5.333,5.572,6.359,7.271,7.092,7.369,7.769,8.246,8.806,10.213,10.315,11.892,12.696,13.337,14.205,14.306,14.778,16.99,17.693,18.146,20.254,21.61,22.283,23.61,25.278,27.286,30.295,34.578,36.379,38.57,39.289,41.447,42.939,44.298,45.183,46.283,49.39,50.302,51.329,52.325,54.33,75.574,no data,no data,no data,no data,no data,no data
Sudan,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.003,0.004,0.007,0.017,0.033,0.068,0.17,0.243,0.302,0.352,0.397,0.421,0.46,0.495,0.566,0.647,0.676,0.759,0.811,0.821,0.995,1.231,1.639,2.207,2.621,2.968,3.373,4.619,7.093,10.659,27.86,75.771,93.266,373.076,913.322,1468.241,2099.193,2776.949,3623.132
Suriname,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.008,0.045,0.151,0.15,0.148,0.172,0.292,0.47,0.621,0.802,0.963,1.062,1.174,1.271,1.317,1.493,1.579,1.673,1.866,1.924,1.845,1.811,1.82,2.429,2.578,2.66,2.729,3.902,5.887,8.009,11.851,14.885,16.768,18.211,19.444,20.049
Sweden,6.778,6.473,6.581,6.959,7.236,7.459,7.768,7.944,8.187,8.498,8.953,9.371,9.267,9.266,9.307,9.463,9.387,9.368,9.339,9.292,9.223,9.244,9.243,9.218,9.007,8.793,8.68,8.69,8.803,8.953,8.931,8.844,8.655,8.598,8.727,8.852,8.823,8.719,8.719,8.783,8.843,8.682,8.599,8.834,8.981,9.042,9.073,9.089,9.102
Switzerland,1.799,1.736,1.755,1.73,1.732,1.717,1.735,1.73,1.717,1.71,1.724,1.758,1.755,1.754,1.738,1.715,1.689,1.652,1.631,1.609,1.594,1.574,1.547,1.534,1.499,1.467,1.453,1.448,1.442,1.439,1.427,1.397,1.354,1.312,1.282,1.235,1.202,1.18,1.161,1.14,1.117,1.082,1.037,1.024,1.019,1.014,1.009,1.006,1.003
Syria,2.71,2.928,2.811,2.837,3.01,3.004,3.713,4.573,5.709,6.566,7.367,7.473,7.695,7.792,8.842,9.268,10.695,11.472,11.394,12.018,13.284,13.364,13.754,13.227,14.212,15.426,16.326,17.608,20.033,19.351,20.474,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
SÃ£o TomÃ© and PrÃ­ncipe,0.02,0.023,0.021,0.021,0.023,0.022,0.028,0.039,0.05,0.067,0.092,0.112,0.153,0.262,0.447,0.656,1.284,1.756,2.014,2.144,2.305,2.277,2.51,2.841,3.087,3.57,3.986,4.434,5.676,6.426,6.792,7.431,8.652,8.767,8.624,9.186,9.739,10.055,10.695,11.69,12.609,12.69,13.793,15.693,16.694,17.317,17.807,18.331,18.865
Taiwan Province of China,24.722,24.999,24.127,23.839,23.305,22.596,23.236,22.684,21.926,21.643,21.933,21.955,22.155,22.395,22.302,22.362,22.474,22.58,23.055,22.297,21.604,20.995,20.589,19.906,19.241,18.375,17.603,17.051,16.288,16.205,15.807,15.151,15.081,15.042,15.25,15.476,15.776,15.73,15.27,14.978,15.061,14.77,14.061,13.848,13.751,13.669,13.604,13.557,13.505
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0.001,0.003,0.012,0.06,0.119,0.181,0.226,0.274,0.338,0.406,0.513,0.585,0.622,0.726,0.904,1.132,1.268,1.409,1.565,1.67,1.649,1.651,1.914,2.03,2.231,2.232,2.273,2.281,2.403,2.381,2.388,2.487,2.596,2.712,2.837,2.952
Tanzania,8.534,9.275,10.503,11.413,12.555,14.842,17.999,22.421,31.886,36.991,43.661,54.106,66.324,80.637,103.559,128.679,150.77,178.925,227.685,246.142,258.914,266.644,281.191,299.049,311.683,321.626,363.389,374.828,426.393,462.923,499.72,546.073,649.705,706.309,759.031,803.812,848.68,885.083,877.961,872.554,889.554,866.778,854.776,873.227,894.827,914.73,936.616,964.437,994.56
Thailand,9.165,9.074,8.978,8.955,8.768,8.684,8.654,8.844,9.048,9.239,9.414,9.588,9.752,9.744,9.986,10.343,10.573,10.853,11.598,11.142,11.04,11.004,11.018,11.037,11.132,11.344,11.566,11.54,11.904,11.851,12.188,12.387,12.25,12.301,12.488,12.641,12.731,12.845,12.722,12.625,12.303,11.978,11.717,11.153,11.08,11.144,11.191,11.232,11.292
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.332,0.363,0.377,0.395,0.344,0.34,0.337,0.356,0.375,0.379,0.416,0.455,0.437,0.487,0.453,0.458,0.432,0.409,0.394,0.407,0.324,0.494,0.521,0.4,0.401,0.409,0.417,0.426,0.435
Togo,151.933,153.48,153.047,171.591,164.705,165.942,170.133,173.49,167.848,163.066,152.587,152.035,151.114,143.769,187.799,182.419,208.714,229.68,222.39,223.705,216.695,215.389,222.747,212.112,202.624,208.026,200.777,209.674,224.397,229.918,226.975,228.625,237.899,240.651,238.234,241.552,243.553,239.722,235.157,231.04,232.166,227.778,220.656,218.754,218.614,218.581,218.708,219.077,219.393
Tonga,0.936,0.825,0.778,0.781,0.567,0.611,0.653,0.716,0.767,0.79,0.791,0.847,0.925,0.971,0.96,0.894,0.904,0.888,0.902,0.96,0.963,0.98,1.038,1.134,1.196,1.252,1.437,1.462,1.499,1.564,1.665,1.639,1.676,1.608,1.579,1.646,1.679,1.74,1.787,1.89,1.788,1.678,1.701,1.806,1.868,1.906,1.934,1.96,1.99
Trinidad and Tobago,2.012,1.971,2.082,2.13,2.18,2.139,2.071,2.119,2.132,2.198,2.447,2.405,2.188,2.28,2.58,2.632,2.633,2.496,2.423,2.492,2.73,2.752,2.588,2.814,3.002,3.3,3.231,3.568,4.329,3.147,3.496,3.95,4.097,4.317,4.375,4.24,4.107,4.162,4.173,3.938,3.728,4.274,4.941,4.314,4.385,4.319,4.242,4.178,4.115
Tunisia,0.268,0.273,0.298,0.325,0.334,0.336,0.341,0.35,0.364,0.377,0.401,0.414,0.428,0.435,0.443,0.455,0.466,0.48,0.49,0.499,0.506,0.514,0.518,0.522,0.525,0.53,0.534,0.531,0.554,0.567,0.582,0.596,0.635,0.671,0.7,0.742,0.767,0.794,0.837,0.881,0.928,0.927,0.932,0.981,1.055,1.124,1.188,1.253,1.299
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0,0.002,0.017,0.217,0.345,0.403,0.489,0.525,0.589,0.628,0.691,0.729,0.756,0.824,0.876,1.373,1.497,1.296,1.426,1.578,1.634,1.682,1.645,1.613,1.623,1.65,1.825,1.864,2.063,2.277,2.27,2.416,2.569,2.74,2.929,3.135
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.108,1.147,1.168,1.18,1.207,1.169,1.207,1.163,1.182,1.18,1.183,1.173,1.158,1.172,1.208,1.248,1.339,1.353,1.418,1.483,1.477,1.48,1.459,1.496,1.523,1.551,1.574,1.596,1.613
"TÃ¼rkiye, Republic of",0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.003,0.005,0.011,0.02,0.036,0.063,0.11,0.168,0.245,0.366,0.496,0.6,0.657,0.682,0.724,0.748,0.823,0.862,0.911,0.966,1.02,1.07,1.105,1.162,1.241,1.373,1.562,1.748,1.98,2.444,4.478,6.798,10.54,15.748,22.535,30.447,40.54
Uganda,0.379,0.54,0.761,1.027,2.009,4.075,8.425,23.157,64.838,134.376,186.958,213.419,284.799,325.069,350.58,372.648,382.518,405.625,423.956,431.745,455.215,441.42,447.003,467.121,488.373,490.747,516.84,545.089,618.941,722.193,729.035,856.168,1003.277,1042.081,1073.747,1125.471,1211.94,1270.608,1308.597,1317.508,1327.662,1302.112,1329.5,1342.169,1373.909,1412.089,1454.032,1500.872,1548.916
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0.005,0.054,0.275,0.448,0.52,0.576,0.724,0.871,0.906,0.939,0.996,1.119,1.346,1.499,1.793,2.271,2.54,2.853,3.192,3.297,3.013,3.435,4.566,5.014,5.916,6.664,7.088,7.714,9.215,11.563,13.691,15.389,16.582,17.324,17.863,18.414
United Arab Emirates,1.732,1.615,1.524,1.418,1.299,1.268,1.22,1.242,1.252,1.201,1.208,1.112,1.111,1.086,1.09,1.106,1.184,1.135,1.087,1.157,1.229,1.189,1.215,1.24,1.31,1.48,1.607,1.761,2.048,1.726,1.918,2.127,2.178,2.213,2.183,2.188,2.19,2.222,2.342,2.227,1.934,2.107,2.23,2.089,2.071,2.037,2.01,1.989,1.97
United Kingdom,0.482,0.496,0.506,0.515,0.525,0.538,0.554,0.572,0.588,0.612,0.64,0.663,0.671,0.676,0.674,0.679,0.699,0.688,0.691,0.691,0.685,0.682,0.686,0.69,0.69,0.689,0.688,0.686,0.695,0.704,0.706,0.706,0.702,0.695,0.698,0.692,0.689,0.682,0.678,0.68,0.711,0.68,0.67,0.684,0.692,0.692,0.693,0.694,0.695
United States,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uruguay,0.007,0.009,0.01,0.014,0.021,0.035,0.059,0.102,0.161,0.272,0.588,1.142,1.783,2.575,3.503,4.839,6.009,7.016,7.797,8.021,8.121,8.325,9.232,10.55,11.313,11.043,11.413,12.159,12.887,13.797,14.302,15.274,16.938,18.173,19.473,21.105,22.454,23.294,24.408,25.989,28.208,30.419,29.682,29.839,30.804,31.765,32.786,33.792,34.833
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.001,0.011,0.125,1.642,7.575,13.505,22.05,30.307,43.071,62.055,88.113,126.19,156.818,177.221,208.56,245.359,296.231,357.106,426.472,505.24,601.998,706.905,804.31,935.237,1058.678,1179.957,1432.907,1775.982,2055.503,2261.194,2457.079,2614.217,2819.534,3049.14,3335.666,3596.579,3810.61,4006.398
Vanuatu,76.235,80.564,82.018,81.138,87.84,82.211,78.191,88.874,94.254,96.549,92.161,98.301,98.788,98.492,98.662,98.31,98.555,99.962,103.39,105.092,105.003,106.412,107.791,106.549,105.96,103.169,103.957,107.069,112.581,114.722,115.028,115.827,113.173,114.57,114.032,119.523,120.203,124.29,125.264,127.092,128.949,124.269,130.583,136.345,140.789,143.222,144.685,146.325,147.947
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.089,1.109,3.273,13.981,41.572,no data,no data,no data,no data
Vietnam,0.249,0.302,0.568,0.817,1.3,2.416,13.904,56.534,222.433,500.155,685.407,1145.597,1484.806,1702.939,1950.07,2235.493,2386.214,2500.536,2691.221,2806.024,2837.393,2828.94,2895.73,3029.046,3476.777,3676.108,3871.644,4132.808,4974.458,5250.005,5814.022,6915.335,7167.057,7369.895,7473.419,7413.456,7315.613,7395.338,7483.618,7529.909,7541.851,7418.299,7200.3,7210.669,7320.584,7422.938,7497.521,7573.617,7648.756
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.724,1.82,1.944,1.986,2.047,2.133,2.268,2.342,2.636,2.432,2.218,2.154,2.187,2.057,2.063,2.288,2.433,2.405,2.36,2.337,2.177,2.136,2.149,2.036,1.977,2.002,1.951,1.909,1.812,1.807,1.814,1.823,1.828,1.831,1.833
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.115,6.624,7.33,8.332,9.854,14.066,18.892,21.04,19.07,25.098,30.271,30.418,32.561,35.408,39.349,45.224,49.832,53.803,63.549,57.647,70.415,81.477,88.793,93.631,98.497,142.845,141.618,164.763,184.794,193.583,248.884,319.42,386.898,420.288,491.281,568.094,631.818,677.517,727.993
Zambia,0,0,0,0,0.001,0.001,0.001,0.002,0.003,0.005,0.01,0.018,0.045,0.114,0.195,0.249,0.305,0.375,0.434,0.505,0.654,0.802,0.943,1.088,1.268,1.434,1.594,1.753,1.903,1.996,2.247,2.446,2.651,2.833,3.065,3.366,3.879,4.193,4.398,4.65,5.221,6.375,6.472,6.996,7.52,7.909,8.292,8.672,9.068
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.422,0.409,0.402,0.392,0.399,0.417,0.428,0.429,0.388,0.374,0.378,0.504,0.518,0.52,0.549,0.558,0.549,0.539,0.541,0.641,1.032,6.204,43.174,88.012,298.6,2516.75,10066.803,22166.675,39899.437,56767.353,71460.337